mag_id	mag_name	edger_trend	hmsc_trend	domain	phylum	class	order	family	genus	species
ERR4835996_bin.41	cmag_353	increaser	increaser	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-822	NA
ERR4835996_bin.8	cmag_354	increaser	increaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	Borkfalkia	NA
ERR4836027_bin.10	cmag_355	decreaser	stable	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Massiliomicrobiota	Massiliomicrobiota sp002160865
ERR4836027_bin.15	cmag_356	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-273	NA
ERR4836027_bin.2	cmag_357	increaser	stable	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-460	NA
ERR4836027_bin.29	cmag_358	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-273	NA
ERR4836028_bin.15	cmag_359	stable	increaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	UMGS1004	NA
ERR4836028_bin.18	cmag_360	decreaser	increaser	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269	NA
ERR4836028_bin.8	cmag_361	decreaser	decreaser	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	NA
ERR4836036_bin.3	cmag_362	increaser	stable	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-988	NA
ERR4836036_bin.31	cmag_363	increaser	increaser	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	NA	NA
ERR4836036_bin.37	cmag_364	decreaser	decreaser	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Hydrogeniiclostridium	NA
ERR4836036_bin.41	cmag_365	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-465	NA	NA
ERR4836036_bin.47	cmag_366	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-273	NA
ERR4836036_bin.5	cmag_367	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	UBA7001	NA
ERR4836037_bin.21	cmag_368	increaser	increaser	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp002161445
ERR4836037_bin.28	cmag_369	increaser	increaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	QALS01	NA
ERR4836885_bin.19	cmag_370	decreaser	stable	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UMGS1826	NA
ERR4836885_bin.39	cmag_371	decreaser	stable	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Merdibacter	NA
ERR4836886_bin.12	cmag_372	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-180	NA
ERR4836886_bin.36	cmag_373	increaser	stable	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA
ERR4836886_bin.6	cmag_374	stable	stable	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UMGS1397	NA
ERR4836886_bin.9	cmag_375	decreaser	stable	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	NA
ERR4836887_bin.32	cmag_376	decreaser	stable	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-273	NA
ERR4836887_bin.35	cmag_377	decreaser	stable	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-273	NA
ERR4836887_bin.5	cmag_378	increaser	increaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA11517	NA
